"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","DATA_FEED","NUM_LIKENESS"
9,2020,12,2020,"PI_SC",59
10,2020,11,2020,"BV",10
10,2020,12,2020,"BV",13
10,2020,11,2020,"PI_JS",2
10,2020,12,2020,"ECU",4
10,2020,10,2020,"PR",4
10,2020,11,2020,"RINA",5
11,2020,11,2020,"DB",6
11,2020,11,2020,"PI_BM",8
11,2020,11,2020,"PI_SK",11
12,2020,12,2020,"TGO",3
12,2020,12,2020,"PI_JS",1
12,2020,12,2020,"PI_WE",4
12,2020,12,2020,"PI_ST",2
12,2020,1,2021,"CS",40
1,2021,1,2021,"PI_AM",4
1,2021,1,2021,"BV",9
1,2021,1,2021,"RINA",7
1,2021,1,2021,"TUR",1
1,2021,1,2021,"PI_ST",44
1,2021,1,2021,"PI_JS",2
1,2021,1,2021,"PI_SM",41
1,2021,2,2021,"KI",2
2,2021,2,2021,"LBR",9
1,2020,3,2020,"PI_AM",27
1,2020,3,2020,"PI_GA",58
1,2020,1,2020,"PI_GA",173
1,2020,1,2020,"ML",4
1,2020,1,2020,"TU",13
1,2020,3,2020,"GEO",26
1,2020,2,2020,"GEO",11
1,2020,2,2020,"IR",13
1,2020,1,2020,"TGO",3
1,2020,3,2020,"VUT",4
1,2020,1,2020,"LUX",7
1,2020,2,2020,"RINA",215
1,2020,1,2020,"GIBSONS",1
1,2020,3,2020,"RINA",32
2,2020,2,2020,"NK",102
2,2020,3,2020,"BLACKSEA",3
2,2020,4,2020,"PI_WE",7
2,2020,3,2020,"CS",205
2,2020,2,2020,"CAN",5
2,2020,2,2020,"DB",1
2,2020,3,2020,"AMSA",1
2,2020,4,2020,"PI_ST",71
2,2020,2,2020,"MB",2
3,2020,3,2020,"TUV",16
3,2020,3,2020,"NK",294
3,2020,3,2020,"PI_JS",11
3,2020,3,2020,"MHL",94
3,2020,11,2020,"NK",7
3,2020,7,2020,"PI_WE",5
3,2020,3,2020,"GRC",3
3,2020,9,2020,"NIS",4
3,2020,4,2020,"TU",1
3,2020,3,2020,"ATG",1
3,2020,6,2020,"NK",11
4,2020,4,2020,"PI_SM",185
4,2020,4,2020,"PI_WE",89
4,2020,4,2020,"PI_LS",6
4,2020,6,2020,"PI_AM",1
4,2020,4,2020,"PAN",2
4,2020,4,2020,"GRC",9
4,2020,9,2020,"BV",81
4,2020,4,2020,"VUT",3
4,2020,4,2020,"LBR",3
4,2020,8,2020,"PI_ST",63
4,2020,4,2020,"MLT",2
4,2020,5,2020,"PI_GA",60
4,2020,8,2020,"PI_GA",34
4,2020,4,2020,"RS",2
4,2020,4,2020,"BLACKSEA",2
4,2020,6,2020,"PI_SM",40
4,2020,6,2020,"LUX",2
4,2020,5,2020,"KP",2
5,2020,5,2020,"GRC",4
5,2020,5,2020,"PI_KO",2
5,2020,5,2020,"PI_GA",26
5,2020,9,2020,"PI_ST",5
5,2020,8,2020,"TUR",10
5,2020,5,2020,"PI_SK",681
5,2020,8,2020,"NG",3
5,2020,5,2020,"CARIBBEAN",1
5,2020,10,2020,"KR",54
5,2020,5,2020,"VUT",3
5,2020,5,2020,"PH",1
5,2020,9,2020,"CS",943
6,2020,6,2020,"MB",2
6,2020,6,2020,"NB",9
6,2020,6,2020,"PI_SK",714
6,2020,6,2020,"RINA",288
6,2020,9,2020,"NG",9
6,2020,9,2020,"PI_SM",7
6,2020,9,2020,"PI_SK",50
6,2020,6,2020,"BLACKSEA",1
6,2020,7,2020,"PI_GA",54
7,2020,7,2020,"BV",104
7,2020,12,2020,"BV",19
7,2020,7,2020,"PI_SK",1057
7,2020,7,2020,"TUR",57
7,2020,10,2020,"KR",32
7,2020,7,2020,"KR",20
7,2020,8,2020,"CS",8
7,2020,7,2020,"BLACKSEA",1
8,2020,10,2020,"LBR",9
8,2020,8,2020,"TUR",1
8,2020,10,2020,"PI_ST",21
8,2020,10,2020,"TUR",7
8,2020,8,2020,"NK",27
8,2020,9,2020,"PH",18
8,2020,11,2020,"PH",5
8,2020,11,2020,"KR",20
8,2020,10,2020,"PI_SK",20
8,2020,8,2020,"RINA",5
9,2020,11,2020,"PI_GA",8
9,2020,10,2020,"TUR",102
9,2020,10,2020,"PI_BM",70
9,2020,12,2020,"PI_ST",8
9,2020,9,2020,"PI_SK",103
9,2020,12,2020,"KR",78
9,2020,11,2020,"FRO",2
9,2020,11,2020,"NG",24
10,2020,11,2020,"NK",12
10,2020,11,2020,"PI_BM",520
10,2020,12,2020,"PR",3
10,2020,12,2020,"KI",892
10,2020,10,2020,"KI",172
10,2020,10,2020,"PI_SM",5
10,2020,12,2020,"AMSA",1
11,2020,11,2020,"TUR",5
12,2020,12,2020,"KR",5
1,2021,1,2021,"PI_SC",9
1,2021,1,2021,"LBR",4
1,2021,1,2021,"CS",157
1,2021,1,2021,"LR",3
1,2021,2,2021,"PI_SK",9
2,2021,2,2021,"MHL",2
2,2021,2,2021,"PI_AM",2
1,2020,1,2020,"NIS",6
1,2020,1,2020,"AB",27
1,2020,1,2020,"AMSA",11
1,2020,1,2020,"PI_SM",29
1,2020,1,2020,"DB",22
1,2020,3,2020,"MLT",1
1,2020,1,2020,"CS",874
1,2020,3,2020,"AMSA",1
1,2020,3,2020,"PI_ST",2
1,2020,2,2020,"COK",20
1,2020,3,2020,"PLW",15
1,2020,1,2020,"PLW",10
1,2020,1,2020,"GRC",2
1,2020,1,2020,"RS",1
2,2020,3,2020,"TU",2
2,2020,2,2020,"TUR",1619
2,2020,2,2020,"CS",8
2,2020,2,2020,"NIS",10
2,2020,2,2020,"MHL",11
2,2020,3,2020,"TGO",3
2,2020,3,2020,"VN",24
2,2020,2,2020,"IOM",14
2,2020,8,2020,"BK",3
2,2020,2,2020,"TUV",11
