"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","DATA_FEED","NUM_IGNORED"
10,2020,11,2020,"BLACKSEA",94
10,2020,10,2020,"DB",3
11,2020,11,2020,"CS",22
11,2020,12,2020,"LBR",15
11,2020,11,2020,"NG",16
11,2020,11,2020,"MLT",5
11,2020,12,2020,"CS",98
11,2020,11,2020,"VZ",1
11,2020,12,2020,"AMSA",1
11,2020,1,2021,"PI_BR",1
12,2020,12,2020,"BV",79
12,2020,12,2020,"MHL",56
12,2020,12,2020,"DB",8
12,2020,1,2021,"PI_SC",3
12,2020,12,2020,"KP",5
12,2020,12,2020,"TU",10
12,2020,12,2020,"NB",3
12,2020,1,2021,"PLW",1
12,2020,1,2021,"PI_SK",2
12,2020,1,2021,"MHL",4
1,2021,1,2021,"PI_BM",22
1,2021,1,2021,"VCT",4
1,2021,1,2021,"NK",95
1,2021,2,2021,"BLZ",1
1,2021,2,2021,"TUV",1
2,2021,2,2021,"BV",12
2,2021,2,2021,"NG",12
2,2021,2,2021,"PI_WE",1
2,2021,2,2021,"IOM",1
10,2020,11,2020,"",0
1,2020,1,2020,"KNA",2
1,2020,1,2020,"KR",295
1,2020,7,2020,"PI_BR",1
1,2020,9,2020,"PI_GA",14
1,2020,4,2020,"PI_SM",37
1,2020,3,2020,"PI_SK",280
1,2020,1,2020,"PI_JS",31
1,2020,2,2020,"BV",1226
1,2020,1,2020,"MLT",9
1,2020,1,2020,"BLACKSEA",11
1,2020,1,2020,"RINA",52
1,2020,9,2020,"NK",5
1,2020,8,2020,"NK",1
1,2020,3,2020,"VN",13
1,2020,4,2020,"NIS",2
1,2020,8,2020,"VUT",1
1,2020,9,2020,"GIBSONS",5
1,2020,3,2020,"GIBSONS",21
1,2020,1,2020,"PAN",1
1,2020,1,2020,"PI_BR",1
1,2020,6,2020,"TUV",3
2,2020,2,2020,"PI_JS",18
2,2020,2,2020,"PH",46
2,2020,2,2020,"LBR",43
2,2020,2,2020,"COK",11
2,2020,2,2020,"VUT",6
2,2020,3,2020,"PI_SK",245
2,2020,3,2020,"MHL",156
2,2020,3,2020,"TUR",241
2,2020,3,2020,"NB",12
2,2020,8,2020,"LBR",34
2,2020,8,2020,"BLACKSEA",3
2,2020,2,2020,"PI_LS",8
2,2020,8,2020,"PI_GA",6
2,2020,3,2020,"PI_GA",13
2,2020,7,2020,"KR",40
2,2020,2,2020,"NB",3
2,2020,12,2020,"NG",10
2,2020,8,2020,"NG",5
2,2020,3,2020,"MLT",2
2,2020,4,2020,"PI_SK",216
2,2020,6,2020,"NG",1
2,2020,3,2020,"PLW",3
2,2020,3,2020,"KR",67
2,2020,2,2020,"DMA",1
2,2020,8,2020,"PI_ST",75
2,2020,3,2020,"MB",1
2,2020,4,2020,"MB",1
2,2020,3,2020,"IR",28
3,2020,3,2020,"NG",531
3,2020,3,2020,"KI",216
3,2020,3,2020,"BV",2231
3,2020,3,2020,"PI_SM",371
3,2020,5,2020,"PI_AM",3
3,2020,9,2020,"LBR",8
3,2020,3,2020,"LBR",134
3,2020,3,2020,"PI_SK",1705
3,2020,4,2020,"BV",214
3,2020,6,2020,"BLACKSEA",12
3,2020,3,2020,"PLW",14
3,2020,4,2020,"NB",11
3,2020,6,2020,"NG",13
3,2020,5,2020,"PI_WE",103
3,2020,4,2020,"PI_WE",11
3,2020,10,2020,"PI_WE",7
3,2020,3,2020,"RS",4
3,2020,4,2020,"CS",3
3,2020,9,2020,"CS",2
3,2020,8,2020,"PI_ST",20
3,2020,9,2020,"PI_SM",208
3,2020,3,2020,"PI_NE",2
3,2020,3,2020,"CM",2
3,2020,3,2020,"GIB",1
3,2020,8,2020,"PI_SM",253
3,2020,6,2020,"BV",34
3,2020,8,2020,"MHL",139
4,2020,4,2020,"AB",41
4,2020,4,2020,"BLZ",3
4,2020,4,2020,"PI_CA",5
4,2020,5,2020,"BV",569
4,2020,7,2020,"BLACKSEA",11
4,2020,7,2020,"PI_AM",20
4,2020,9,2020,"GEO",3
4,2020,4,2020,"NIS",7
4,2020,4,2020,"GHOST_VESSEL",3
4,2020,11,2020,"NG",6
4,2020,6,2020,"PI_ST",40
4,2020,7,2020,"PI_ST",61
4,2020,12,2020,"PI_ST",312
4,2020,1,2021,"PI_ST",22
4,2020,8,2020,"MHL",59
4,2020,6,2020,"LR",25
4,2020,9,2020,"NG",16
4,2020,6,2020,"MHL",26
4,2020,4,2020,"KNA",3
4,2020,5,2020,"PI_SM",57
4,2020,8,2020,"CS",2
4,2020,4,2020,"KP",1
4,2020,5,2020,"MLT",2
5,2020,5,2020,"NK",164
5,2020,5,2020,"RINA",29
5,2020,5,2020,"AMSA",3
5,2020,6,2020,"RINA",7
5,2020,6,2020,"NK",46
5,2020,6,2020,"PI_AM",44
5,2020,12,2020,"PI_AM",10
5,2020,9,2020,"KR",32
5,2020,6,2020,"TU",10
5,2020,8,2020,"PI_WE",24
5,2020,6,2020,"PI_ST",20
5,2020,7,2020,"NK",2
5,2020,6,2020,"TGO",4
6,2020,10,2020,"VUT",1
6,2020,10,2020,"LBR",5
6,2020,9,2020,"LBR",28
6,2020,6,2020,"TUR",84
6,2020,6,2020,"CS",1681
6,2020,6,2020,"PI_JS",24
6,2020,7,2020,"KR",5
6,2020,8,2020,"KR",2
6,2020,9,2020,"NIS",1
6,2020,9,2020,"PI_ST",9
6,2020,8,2020,"PI_SK",119
6,2020,10,2020,"KI",247
6,2020,9,2020,"GIBSONS",2
6,2020,8,2020,"PI_GA",38
6,2020,9,2020,"ML",2
6,2020,6,2020,"ML",3
6,2020,9,2020,"CM",1
6,2020,6,2020,"UKR",193
6,2020,7,2020,"MHL",7
7,2020,10,2020,"IR",2
7,2020,7,2020,"BLZ",2
7,2020,9,2020,"NG",7
7,2020,10,2020,"LBR",8
7,2020,8,2020,"BLACKSEA",26
7,2020,10,2020,"IB",32
7,2020,7,2020,"GRC",2
7,2020,11,2020,"BV",5
7,2020,10,2020,"CS",1203
7,2020,11,2020,"PI_SM",28
7,2020,9,2020,"KR",28
7,2020,8,2020,"CUW",1
7,2020,10,2020,"PI_JS",2
7,2020,9,2020,"PI_ST",66
7,2020,10,2020,"GIBSONS",1
7,2020,7,2020,"DB",1
7,2020,7,2020,"UKR",30
7,2020,11,2020,"VCT",7
7,2020,10,2020,"PI_BR",1
8,2020,11,2020,"PI_GA",2
8,2020,8,2020,"KP",3
8,2020,9,2020,"BLACKSEA",32
8,2020,10,2020,"TGO",1
8,2020,11,2020,"MLT",1
8,2020,8,2020,"VN",33
8,2020,12,2020,"PI_WE",13
8,2020,12,2020,"PH",25
8,2020,9,2020,"KR",99
8,2020,8,2020,"PLW",5
8,2020,8,2020,"IOM",2
9,2020,9,2020,"CYP",2
9,2020,10,2020,"LBR",35
9,2020,11,2020,"PI_BM",428
9,2020,12,2020,"NB",6
9,2020,1,2021,"PI_SM",9
9,2020,9,2020,"NB",6
9,2020,12,2020,"PI_WE",9
9,2020,9,2020,"NIS",1
9,2020,12,2020,"PI_BM",100
9,2020,12,2020,"PI_SC",83
9,2020,12,2020,"CS",269
9,2020,10,2020,"CYP",1
9,2020,10,2020,"VDM",66
9,2020,9,2020,"VDM",10
9,2020,10,2020,"GIBSONS",1
10,2020,12,2020,"BV",44
10,2020,11,2020,"BV",29
10,2020,11,2020,"PI_AM",2
10,2020,11,2020,"PI_JS",10
10,2020,12,2020,"NK",19
10,2020,11,2020,"MHL",9
10,2020,10,2020,"PI_JS",8
10,2020,12,2020,"ECU",4
10,2020,12,2020,"IR",9
10,2020,1,2021,"LR",4
10,2020,10,2020,"PR",6
10,2020,11,2020,"RINA",8
10,2020,10,2020,"GIBSONS",9
10,2020,10,2020,"NB",5
10,2020,1,2021,"VCT",3
11,2020,12,2020,"PI_AM",2
11,2020,12,2020,"PI_BM",21
11,2020,12,2020,"PI_SC",1
11,2020,11,2020,"PI_BM",114
11,2020,11,2020,"DB",12
11,2020,11,2020,"PI_SK",58
11,2020,2,2021,"NK",1
11,2020,11,2020,"NB",1
11,2020,12,2020,"GIBSONS",1
12,2020,12,2020,"PI_WE",49
12,2020,12,2020,"PI_ST",47
12,2020,12,2020,"PI_JS",14
12,2020,1,2021,"LBR",3
12,2020,12,2020,"TGO",8
12,2020,12,2020,"MLT",5
12,2020,12,2020,"RS",1
12,2020,12,2020,"VCT",1
12,2020,1,2021,"PI_BM",9
12,2020,12,2020,"BLZ",10
12,2020,1,2021,"CS",40
1,2021,1,2021,"PI_AM",30
1,2021,1,2021,"BV",82
1,2021,1,2021,"PI_JS",42
1,2021,1,2021,"PI_SK",44
1,2021,1,2021,"TUR",10
1,2021,1,2021,"RINA",39
1,2021,1,2021,"PI_ST",118
1,2021,1,2021,"PI_SM",38
1,2021,2,2021,"KI",6
1,2021,2,2021,"MHL",3
2,2021,2,2021,"LBR",34
1,2020,3,2020,"PI_AM",86
1,2020,9,2020,"PI_AM",14
1,2020,3,2020,"PI_GA",353
1,2020,1,2020,"PI_GA",241
1,2020,5,2020,"PI_GA",3
1,2020,3,2020,"VUT",15
1,2020,1,2020,"ML",2
1,2020,1,2020,"TU",13
1,2020,2,2020,"DB",17
1,2020,7,2020,"BV",39
1,2020,3,2020,"GEO",38
1,2020,2,2020,"GEO",11
1,2020,2,2020,"IR",19
1,2020,2,2020,"PI_JS",3
1,2020,1,2020,"TGO",3
1,2020,1,2020,"LUX",7
1,2020,3,2020,"KR",130
1,2020,2,2020,"RINA",228
1,2020,3,2020,"RINA",46
1,2020,1,2020,"GIBSONS",1
1,2020,3,2020,"VDM",2
1,2020,3,2020,"PI_BM",12
2,2020,4,2020,"PI_LS",14
2,2020,2,2020,"NK",150
2,2020,4,2020,"CUW",6
2,2020,3,2020,"CS",850
2,2020,7,2020,"BV",36
2,2020,3,2020,"AMSA",9
2,2020,3,2020,"LBR",54
2,2020,12,2020,"LBR",12
2,2020,3,2020,"BLACKSEA",167
2,2020,4,2020,"PI_WE",11
2,2020,4,2020,"NK",26
2,2020,9,2020,"NIS",10
2,2020,2,2020,"CAN",5
2,2020,2,2020,"DB",1
2,2020,4,2020,"PI_ST",210
2,2020,3,2020,"PI_SM",15
2,2020,2,2020,"MB",2
3,2020,3,2020,"TUV",16
3,2020,3,2020,"NK",375
3,2020,3,2020,"PI_JS",16
3,2020,5,2020,"LBR",13
3,2020,3,2020,"MHL",177
3,2020,9,2020,"VCT",12
3,2020,5,2020,"VUT",1
3,2020,8,2020,"BLACKSEA",47
3,2020,9,2020,"BLACKSEA",25
3,2020,6,2020,"NK",30
3,2020,9,2020,"PI_BR",1
3,2020,11,2020,"NK",7
3,2020,6,2020,"PI_JS",4
3,2020,7,2020,"PI_WE",29
3,2020,3,2020,"GRC",3
3,2020,8,2020,"CS",9
3,2020,9,2020,"NIS",4
3,2020,6,2020,"AMSA",1
3,2020,4,2020,"PI_SM",72
3,2020,4,2020,"TU",1
3,2020,6,2020,"MLT",1
3,2020,3,2020,"ATG",1
3,2020,3,2020,"IB",46
