"RESOLVED_MONTH","RESOLVED_YEAR","RESOLVED_BY","NUM_PER_ANALYST"
9,2020,"MERIT_PALANIVEL",11
12,2020,"MERIT_KALIYAPERUMAL",135
11,2020,"MERIT_KALIYAPERUMAL",71
9,2020,"AYLETT",8
5,2020,"VDP",9
12,2020,"MERIT_VELU",108
11,2020,"AYLETT",10
6,2020,"VDP",10
7,2020,"VDP",11
10,2020,"MERIT_VENUGOPAL",52
1,2021,"VDP",116
2,2021,"MERIT_KOTHANDARAMAN",164
3,2020,"MERIT_RAMACHANDRAN",475
5,2020,"MERIT_KARUNAKARAN",191
5,2020,"MERIT_PONRAJ",172
2,2020,"TITCOMBE",16
5,2020,"MERIT_VENUGOPAL",139
8,2020,"MERIT_RAMACHANDRAN",293
9,2020,"MERIT_PONRAJ",744
4,2020,"MERIT_RAMACHANDRAN",54
12,2020,"MERIT_PALANIVEL",207
6,2020,"MERIT_VENUGOPAL",131
5,2020,"MERIT_SRINIVASAMURTHYT",248
5,2020,"STOCK",30
7,2020,"STOMA",10
11,2020,"MERIT_PONRAJ",193
7,2020,"MERIT_KALIYAPERUMAL",21
11,2020,"MERIT_KARUNAKARAN",37
8,2020,"AYLETT",14
9,2020,"STOMA",9
11,2020,"MERIT_SRINIVASAMURTHYT",123
11,2020,"STOMA",3
9,2020,"MERIT_LIYAKATHA",23
2,2021,"HARDEN",6
2,2021,"MERIT_KARUNAKARAN",12
2,2021,"MERIT_KALIYAPERUMAL",27
1,2020,"MERIT_VELU",79
3,2020,"MERIT_MONICCA",431
1,2020,"MERIT_MONICCA",133
3,2020,"MERIT_VENUGOPAL",143
7,2020,"MERIT_VELU",64
8,2020,"MERIT_VENUGOPAL",71
4,2020,"STOCK",46
6,2020,"MERIT_KARUNAKARAN",17
9,2020,"MERIT_SRINIVASAMURTHYT",61
10,2020,"MERIT_RAMAN",50
1,2021,"MERIT_KOTHANDARAMAN",161
2,2021,"MERIT_MONICCA",163
2,2021,"MERIT_VELU",8
