"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","CONFLICT_STATUS","DATA_FEED","COUNT_STATUS_PER_FEED"
6,2020,12,2020,"MANUAL UPDATE","BV",2
6,2020,9,2020,"IGNORED","BV",5
6,2020,6,2020,"IGNORED","BLACKSEA",5
6,2020,6,2020,"IGNORED","MLT",5
6,2020,8,2020,"MANUAL UPDATE","IOM",3
6,2020,6,2020,"IGNORED","PI_GA",6
6,2020,,,"PENDING","TUR",1
6,2020,9,2020,"MANUAL UPDATE","PI_JS",1
6,2020,8,2020,"MANUAL UPDATE","IR",1
6,2020,8,2020,"IGNORED","MHL",4
6,2020,6,2020,"IGNORED","NIS",1
6,2020,9,2020,"MANUAL UPDATE","CS",7
6,2020,6,2020,"MANUAL UPDATE","VN",3
6,2020,8,2020,"MANUAL UPDATE","PI_ST",5
6,2020,7,2020,"MANUAL UPDATE","PI_ST",2
6,2020,9,2020,"IGNORED","PI_ST",1
6,2020,11,2020,"IGNORED","NG",1
6,2020,,,"PENDING","BLACKSEA",2
6,2020,10,2020,"MANUAL UPDATE","KI",3
6,2020,,,"PENDING","PI_SM",19
6,2020,8,2020,"MANUAL UPDATE","FRO",1
6,2020,9,2020,"MANUAL UPDATE","IB",1
6,2020,10,2020,"IGNORED","ML",1
7,2020,7,2020,"IGNORED","NG",35
7,2020,8,2020,"MANUAL UPDATE","NG",1
7,2020,10,2020,"IGNORED","BLACKSEA",63
7,2020,7,2020,"MANUAL UPDATE","PI_AM",6
7,2020,7,2020,"IGNORED","NK",19
7,2020,7,2020,"IGNORED","KR",9
7,2020,9,2020,"IGNORED","BV",6
7,2020,9,2020,"MANUAL UPDATE","KR",8
7,2020,8,2020,"IGNORED","KI",2
7,2020,7,2020,"IGNORED","PI_WE",18
7,2020,10,2020,"IGNORED","PI_SK",4
7,2020,8,2020,"MANUAL UPDATE","TUR",1
7,2020,10,2020,"IGNORED","TUR",1
7,2020,9,2020,"MANUAL UPDATE","TUR",1
7,2020,8,2020,"IGNORED","PI_WE",7
7,2020,,,"PENDING","NK",12
7,2020,10,2020,"IGNORED","PI_JS",1
7,2020,7,2020,"IGNORED","VZ",1
7,2020,10,2020,"MANUAL UPDATE","CS",6
7,2020,7,2020,"IGNORED","PI_JS",3
7,2020,9,2020,"IGNORED","VUT",3
7,2020,8,2020,"MANUAL UPDATE","VN",2
7,2020,12,2020,"IGNORED","VN",1
7,2020,10,2020,"MANUAL UPDATE","VN",1
7,2020,7,2020,"IGNORED","CYP",3
7,2020,10,2020,"MANUAL UPDATE","AMSA",1
7,2020,7,2020,"MANUAL UPDATE","PLW",2
7,2020,8,2020,"MANUAL UPDATE","PLW",2
7,2020,,,"PENDING","PI_GA",5
7,2020,10,2020,"MANUAL UPDATE","PI_GA",4
7,2020,9,2020,"MANUAL UPDATE","MLT",1
7,2020,10,2020,"IGNORED","MLT",1
7,2020,7,2020,"IGNORED","MLT",1
7,2020,12,2020,"MANUAL UPDATE","MLT",1
7,2020,9,2020,"IGNORED","PI_SM",2
7,2020,10,2020,"IGNORED","GIBSONS",1
7,2020,7,2020,"IGNORED","UKR",1
7,2020,12,2020,"IGNORED","VCT",1
8,2020,8,2020,"IGNORED","CS",80
8,2020,8,2020,"IGNORED","COK",2
8,2020,8,2020,"IGNORED","PI_ST",19
8,2020,12,2020,"MANUAL UPDATE","BV",2
8,2020,11,2020,"IGNORED VALUE","CS",3
8,2020,9,2020,"IGNORED","LBR",10
8,2020,11,2020,"MANUAL UPDATE","LBR",3
8,2020,12,2020,"MANUAL UPDATE","PI_AM",1
8,2020,8,2020,"MANUAL UPDATE","PI_SK",4
8,2020,8,2020,"IGNORED","KR",11
8,2020,10,2020,"IGNORED","TGO",1
8,2020,,,"PENDING","TUR",17
8,2020,8,2020,"IGNORED VALUE","TUR",1
8,2020,12,2020,"IGNORED","TUR",1
8,2020,8,2020,"MANUAL UPDATE","NK",9
8,2020,,,"PENDING","NK",18
8,2020,11,2020,"MANUAL UPDATE","NK",1
8,2020,11,2020,"IGNORED","NK",2
8,2020,10,2020,"IGNORED","PI_WE",14
8,2020,11,2020,"IGNORED","KR",1
8,2020,10,2020,"IGNORED","PI_JS",3
8,2020,9,2020,"IGNORED","PI_JS",2
8,2020,11,2020,"MANUAL UPDATE","PI_JS",1
8,2020,8,2020,"IGNORED","PI_JS",12
8,2020,,,"PENDING","BK",1
8,2020,12,2020,"IGNORED","PI_SK",1
8,2020,,,"PENDING","UKR",6
8,2020,11,2020,"MANUAL UPDATE","PI_ST",3
8,2020,12,2020,"MANUAL UPDATE","PI_ST",2
8,2020,9,2020,"MANUAL UPDATE","PI_ST",4
8,2020,8,2020,"IGNORED","VN",8
8,2020,8,2020,"IGNORED","NIS",4
8,2020,9,2020,"IGNORED","PI_SK",2
8,2020,12,2020,"IGNORED","MHL",1
8,2020,8,2020,"IGNORED","LUX",2
8,2020,10,2020,"MANUAL UPDATE","PH",1
8,2020,10,2020,"IGNORED","VDM",43
8,2020,10,2020,"MANUAL UPDATE","RINA",17
8,2020,11,2020,"IGNORED","MHL",1
9,2020,9,2020,"IGNORED","PLW",5
9,2020,9,2020,"MANUAL UPDATE","BV",6
9,2020,10,2020,"IGNORED","BV",42
9,2020,12,2020,"IGNORED","KR",2
9,2020,11,2020,"IGNORED","LBR",2
9,2020,10,2020,"MANUAL UPDATE","PI_GA",11
9,2020,,,"PENDING","TGO",7
9,2020,9,2020,"IGNORED VALUE","BLACKSEA",1
9,2020,12,2020,"IGNORED","TUR",5
9,2020,12,2020,"IGNORED","PI_WE",7
9,2020,10,2020,"MANUAL UPDATE","PI_SK",9
9,2020,9,2020,"IGNORED","AB",2
9,2020,11,2020,"IGNORED","PI_BM",27
9,2020,12,2020,"MANUAL UPDATE","PI_BM",2
9,2020,11,2020,"IGNORED VALUE","PI_BM",8
9,2020,10,2020,"IGNORED VALUE","PI_SC",2
9,2020,1,2021,"IGNORED","PI_SC",1
9,2020,11,2020,"MANUAL UPDATE","PI_SC",1
9,2020,12,2020,"IGNORED","AMSA",1
9,2020,12,2020,"MANUAL UPDATE","VN",1
9,2020,11,2020,"IGNORED","PI_ST",11
9,2020,10,2020,"IGNORED","PI_ST",8
9,2020,12,2020,"IGNORED","PI_ST",6
9,2020,9,2020,"MANUAL UPDATE","PI_ST",6
9,2020,9,2020,"IGNORED VALUE","CS",6
9,2020,11,2020,"MANUAL UPDATE","KR",6
9,2020,12,2020,"IGNORED","DMA",1
9,2020,10,2020,"MANUAL UPDATE","DMA",1
9,2020,11,2020,"MANUAL UPDATE","MLT",3
9,2020,11,2020,"MANUAL UPDATE","PLW",1
9,2020,10,2020,"MANUAL UPDATE","VUT",1
