"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","DATA_FEED","NUM_IGNORED"
11,2020,11,2020,"VZ",1
11,2020,12,2020,"AMSA",1
11,2020,1,2021,"PI_BR",1
12,2020,12,2020,"BV",53
12,2020,12,2020,"MHL",29
12,2020,12,2020,"DB",8
12,2020,1,2021,"PI_SC",1
12,2020,12,2020,"KP",5
12,2020,12,2020,"TU",4
12,2020,12,2020,"NB",1
12,2020,1,2021,"PLW",1
12,2020,1,2021,"PI_SK",1
12,2020,1,2021,"MHL",1
1,2021,1,2021,"PI_BM",9
1,2021,1,2021,"VCT",4
1,2021,2,2021,"RINA",2
1,2021,1,2021,"NK",63
1,2021,2,2021,"BLZ",1
1,2021,2,2021,"TUV",1
2,2021,2,2021,"BV",29
2,2021,2,2021,"NG",79
2,2021,2,2021,"PI_WE",28
2,2021,2,2021,"IOM",1
1,2020,1,2020,"KNA",2
1,2020,1,2020,"KR",26
1,2020,9,2020,"PI_GA",6
1,2020,2,2020,"BV",19
1,2020,1,2020,"MLT",9
1,2020,1,2020,"BLACKSEA",9
1,2020,1,2020,"RINA",25
1,2020,1,2020,"PI_JS",11
1,2020,9,2020,"NK",1
1,2020,8,2020,"NK",1
1,2020,3,2020,"VN",1
1,2020,4,2020,"NIS",2
1,2020,8,2020,"VUT",1
1,2020,4,2020,"PI_SM",2
1,2020,9,2020,"GIBSONS",4
1,2020,3,2020,"GIBSONS",19
1,2020,1,2020,"PAN",1
1,2020,6,2020,"TUV",1
2,2020,2,2020,"PI_JS",6
2,2020,2,2020,"PH",12
2,2020,2,2020,"LBR",14
2,2020,2,2020,"COK",6
2,2020,2,2020,"VUT",6
2,2020,3,2020,"MHL",3
2,2020,3,2020,"NB",1
2,2020,8,2020,"LBR",3
2,2020,8,2020,"BLACKSEA",3
2,2020,2,2020,"PI_LS",8
2,2020,7,2020,"KR",1
2,2020,2,2020,"NB",3
2,2020,12,2020,"NG",1
2,2020,8,2020,"NG",1
2,2020,3,2020,"MLT",2
2,2020,3,2020,"TUR",22
2,2020,4,2020,"PI_SK",1
2,2020,6,2020,"NG",1
2,2020,3,2020,"PLW",1
2,2020,3,2020,"KR",7
2,2020,2,2020,"DMA",1
2,2020,8,2020,"PI_ST",10
2,2020,3,2020,"MB",1
2,2020,4,2020,"MB",1
2,2020,3,2020,"IR",4
3,2020,3,2020,"NG",153
3,2020,3,2020,"KI",55
3,2020,3,2020,"BV",158
3,2020,3,2020,"PI_SM",55
3,2020,5,2020,"PI_AM",1
3,2020,9,2020,"LBR",2
3,2020,3,2020,"LBR",51
3,2020,4,2020,"BV",5
3,2020,3,2020,"PI_SK",2
3,2020,6,2020,"BLACKSEA",12
3,2020,3,2020,"PLW",14
3,2020,4,2020,"NB",1
3,2020,6,2020,"NG",4
3,2020,5,2020,"PI_WE",12
3,2020,10,2020,"PI_WE",1
3,2020,4,2020,"PI_WE",1
3,2020,3,2020,"RS",4
3,2020,4,2020,"CS",1
3,2020,9,2020,"CS",1
3,2020,8,2020,"PI_ST",3
3,2020,3,2020,"PI_NE",2
3,2020,3,2020,"CM",2
3,2020,3,2020,"GIB",1
3,2020,9,2020,"PI_SM",22
3,2020,8,2020,"PI_SM",25
3,2020,6,2020,"BV",1
3,2020,8,2020,"MHL",3
4,2020,4,2020,"AB",40
4,2020,4,2020,"BLZ",3
4,2020,4,2020,"PI_CA",5
4,2020,7,2020,"BLACKSEA",9
4,2020,7,2020,"PI_AM",3
4,2020,5,2020,"BV",14
4,2020,9,2020,"GEO",1
4,2020,4,2020,"NIS",4
4,2020,4,2020,"GHOST_VESSEL",3
4,2020,6,2020,"PI_ST",4
4,2020,7,2020,"PI_ST",7
4,2020,12,2020,"PI_ST",34
4,2020,1,2021,"PI_ST",2
4,2020,8,2020,"MHL",3
4,2020,11,2020,"NG",1
4,2020,9,2020,"NG",4
4,2020,4,2020,"KNA",3
4,2020,5,2020,"PI_SM",7
4,2020,8,2020,"CS",2
4,2020,4,2020,"KP",1
4,2020,5,2020,"MLT",2
5,2020,5,2020,"NK",37
5,2020,5,2020,"RINA",11
5,2020,5,2020,"AMSA",3
5,2020,6,2020,"PI_AM",6
5,2020,12,2020,"PI_AM",1
5,2020,8,2020,"PI_WE",7
5,2020,6,2020,"PI_ST",2
5,2020,6,2020,"NK",5
5,2020,7,2020,"NK",1
5,2020,9,2020,"KR",2
5,2020,6,2020,"TGO",4
6,2020,10,2020,"VUT",1
6,2020,10,2020,"LBR",1
6,2020,9,2020,"LBR",4
6,2020,6,2020,"TUR",10
6,2020,6,2020,"CS",19
6,2020,6,2020,"PI_JS",6
6,2020,7,2020,"KR",1
6,2020,8,2020,"KR",1
6,2020,9,2020,"NIS",1
6,2020,9,2020,"PI_ST",1
6,2020,8,2020,"PI_SK",2
6,2020,10,2020,"KI",21
6,2020,9,2020,"GIBSONS",1
6,2020,9,2020,"ML",2
6,2020,6,2020,"ML",2
6,2020,9,2020,"CM",1
6,2020,6,2020,"UKR",5
6,2020,7,2020,"MHL",1
6,2020,8,2020,"PI_GA",11
7,2020,10,2020,"IR",1
7,2020,7,2020,"BLZ",2
7,2020,9,2020,"NG",3
7,2020,10,2020,"LBR",1
7,2020,8,2020,"BLACKSEA",24
7,2020,10,2020,"IB",1
