"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","DATA_FEED","NUM_MANUAL_UPDATE"
12,2020,1,2021,"PI_SK",3
12,2020,12,2020,"DB",3
1,2021,1,2021,"PI_BM",4
1,2021,1,2021,"NK",48
1,2021,2,2021,"BLZ",5
1,2021,2,2021,"TUV",23
2,2021,2,2021,"PI_WE",2
2,2021,2,2021,"BV",13
2,2021,2,2021,"NG",9
2,2021,2,2021,"IOM",1
1,2020,8,2020,"PI_AM",8
1,2020,9,2020,"PI_GA",22
1,2020,9,2020,"NK",7
1,2020,8,2020,"HRV",1
1,2020,2,2020,"BV",32
1,2020,1,2020,"MLT",3
1,2020,9,2020,"PH",6
1,2020,1,2020,"RINA",13
1,2020,8,2020,"MHL",57
1,2020,4,2020,"IR",4
1,2020,3,2020,"VN",12
1,2020,4,2020,"NIS",10
1,2020,4,2020,"AMSA",5
1,2020,4,2020,"PI_JS",5
1,2020,1,2020,"KR",6
1,2020,9,2020,"PI_SK",276
1,2020,8,2020,"NG",22
1,2020,6,2020,"NG",9
1,2020,8,2020,"VUT",1
1,2020,4,2020,"KR",21
1,2020,5,2020,"PI_SK",187
1,2020,4,2020,"PI_SM",12
1,2020,8,2020,"CM",2
1,2020,9,2020,"PLW",1
2,2020,3,2020,"MLT",5
2,2020,3,2020,"MHL",46
2,2020,2,2020,"NB",2
2,2020,3,2020,"NB",2
2,2020,2,2020,"LBR",6
2,2020,6,2020,"NG",12
2,2020,8,2020,"PI_ST",48
2,2020,8,2020,"LBR",18
2,2020,8,2020,"PI_GA",5
2,2020,6,2020,"NK",5
2,2020,3,2020,"KR",51
2,2020,8,2020,"NG",38
2,2020,3,2020,"TUR",18
2,2020,3,2020,"PLW",3
2,2020,3,2020,"IR",2
3,2020,5,2020,"PI_AM",7
3,2020,3,2020,"BV",44
3,2020,3,2020,"LBR",24
3,2020,9,2020,"LBR",12
3,2020,8,2020,"MHL",271
3,2020,8,2020,"PI_ST",29
3,2020,6,2020,"BV",54
3,2020,6,2020,"VCT",7
3,2020,4,2020,"BV",123
3,2020,9,2020,"PI_SM",18
3,2020,4,2020,"NB",2
3,2020,9,2020,"AMSA",4
3,2020,4,2020,"PI_WE",14
3,2020,5,2020,"PI_WE",9
3,2020,3,2020,"NG",20
3,2020,8,2020,"VN",9
3,2020,6,2020,"NG",12
3,2020,8,2020,"MLT",1
3,2020,3,2020,"PI_SM",3
3,2020,7,2020,"MLT",1
3,2020,8,2020,"PI_SM",15
3,2020,10,2020,"VCT",7
4,2020,5,2020,"BV",834
4,2020,5,2020,"PI_AM",6
4,2020,5,2020,"PI_SM",10
4,2020,5,2020,"GEO",1
4,2020,6,2020,"PI_ST",6
4,2020,8,2020,"MHL",227
4,2020,10,2020,"NIU",1
4,2020,7,2020,"PI_JS",3
4,2020,6,2020,"MHL",17
4,2020,12,2020,"PI_ST",9
4,2020,4,2020,"KNA",2
4,2020,6,2020,"KR",15
4,2020,9,2020,"NG",11
4,2020,5,2020,"MLT",2
4,2020,8,2020,"CS",66
4,2020,4,2020,"AB",1
4,2020,8,2020,"VCT",8
5,2020,12,2020,"PI_AM",8
5,2020,8,2020,"NB",4
5,2020,8,2020,"PI_WE",9
5,2020,6,2020,"PI_ST",4
5,2020,7,2020,"NK",4
5,2020,6,2020,"NK",8
5,2020,5,2020,"NK",5
5,2020,9,2020,"KR",126
5,2020,9,2020,"PI_GA",4
5,2020,7,2020,"UKR",8
5,2020,8,2020,"VCT",3
5,2020,6,2020,"TGO",1
6,2020,9,2020,"LBR",50
6,2020,8,2020,"PI_GA",57
6,2020,7,2020,"MHL",12
6,2020,12,2020,"BV",42
6,2020,9,2020,"PI_ST",14
6,2020,11,2020,"VZ",1
6,2020,8,2020,"IOM",9
6,2020,8,2020,"PI_JS",21
6,2020,6,2020,"PI_JS",2
6,2020,8,2020,"KR",48
